composition,actual_hardness,predicted_hardness,y_lower,y_upper,y_std,y_std_calib,load
Ag0.05Y0.048Pd0.902,0.0,2.6232061,2.6414988,4.3036113,0.42400828,18.148247,0.49
Al3BC3,0.0,30.523293,30.48293,28.132778,1e-04,0.004280163,0.25
Al3BC3,0.0,31.036339,30.63176,28.186766,1e-04,0.004280163,0.49
Al3BC3,0.0,23.70036,21.71068,22.576666,0.22091475,9.455512,10.0
AlB12,0.0,26.017076,25.340324,35.03804,2.473907,105.88725,1.96
AuSn4,0.0,1.8774979,2.1945102,4.1983767,0.5111904,21.879784,0.49
BC2N,0.0,54.57677,32.38925,43.526745,2.8411973,121.60788,4.9
Be12Nb,0.0,7.629657,6.204144,16.705824,2.6790001,114.66558,0.98
CdGd,0.0,2.6494524,2.144026,4.664028,0.6428577,27.515358,0.98
CeAlO3,0.0,8.608156,6.9493937,10.469896,0.8980874,38.439606,1.96
CeRh3B,0.0,4.227576,4.6905646,6.3074665,0.41247496,17.654602,2.942
CoB2,0.0,28.884447,22.533009,29.542383,1.7881057,76.533844,0.49
Cr0.3W0.7B4,0.0,45.083366,40.540375,47.817924,1.8565178,79.46199,0.49
Cr0.3W0.7B4,0.0,38.084732,35.51752,40.564144,1.2874038,55.102985,0.98
Cr0.3W0.7B4,0.0,34.56325,32.0001,35.405743,0.8687866,37.185482,1.96
Cr0.3W0.7B4,0.0,32.42302,30.596083,33.24905,0.6767774,28.967178,2.94
Cr0.3W0.7B4,0.0,30.220882,28.95912,31.611908,0.67673165,28.96522,4.9
Cr0.4Fe0.4Co0.4Ni0.4Al0.4,0.0,3.82458,4.03252,8.310745,1.091384,46.71302,1.96
Cr2.4W0.6B4,0.0,23.858715,23.549147,26.516935,0.75708896,32.404644,0.98
Cr2.79Nb0.21B4,0.0,20.651144,17.945358,24.019611,1.5495543,66.323456,0.98
Cr28.58Al112.28,0.0,4.6518083,3.5447211,11.185823,1.9492607,83.43154,0.49
Cr2B3,0.0,17.396646,15.842963,23.838678,2.0397232,87.30348,0.98
Cr5B3,0.0,14.401345,10.275856,15.732319,1.3919548,59.577934,0.49
CrB50,0.0,38.98621,35.715443,44.19939,2.1642723,92.634384,0.49
Cu6Gd,0.0,5.2828593,3.7760065,6.7033343,0.7467673,31.962858,0.98
DyC2,0.0,6.7468843,5.5886607,9.6434145,1.0343759,44.272976,1.72
DyMn2Si2,0.0,5.933014,5.730553,7.8915987,0.5512871,23.595987,0.49
ErRh3B,0.0,10.191558,8.175852,10.799172,0.6692144,28.643469,0.98
Fe0.9Ru0.1,0.0,2.5003343,2.2938976,6.321069,1.0273396,43.97181,9.8
Gd0.8Nd0.2B6,0.0,20.440699,18.334166,24.115618,1.4748602,63.126423,5.0
GdRh3B,0.0,5.703618,5.783036,7.6296644,0.4710786,20.162933,2.94
Hf0.5Nb0.5Cr2,0.0,4.1134653,3.1720586,7.6096945,1.1320499,48.453583,1.96
Hf5Ge3,0.0,7.54262,6.5569687,10.248061,0.9416052,40.30224,0.98
HfGe,0.0,7.5983753,6.35245,7.99104,0.41800773,17.891413,0.98
HfN,0.0,19.950294,15.804997,19.846767,1.0310638,44.131214,0.49
HfN0.75,0.0,17.75217,14.547548,14.273368,1e-04,0.004280163,0.49
HoB12,0.0,32.61216,32.32168,35.358192,0.77462095,33.15504,0.49
InN,0.0,10.465899,7.606184,10.7841215,0.81069833,34.69921,0.02
LaC2,0.0,1.0764117,2.1531036,7.660064,1.4048369,60.12931,2.942
Mg2B25C4,0.0,31.39605,28.842123,35.870007,1.7928274,76.73594,2.0
Mn2B,0.0,13.9130945,9.437384,11.66548,0.5683918,24.328096,0.49
MnSi,0.0,9.7652235,7.727681,10.071533,0.59792143,25.592012,0.98
Mo0.03W0.97B4,0.0,47.702976,41.38186,50.440594,2.3109016,98.91036,0.49
Mo0.03W0.97B4,0.0,41.061424,36.354733,42.833412,1.6527244,70.7393,0.98
Mo0.03W0.97B4,0.0,35.935814,32.67739,37.665848,1.2725655,54.46788,1.96
Mo0.03W0.97B4,0.0,33.17808,31.305368,35.497112,1.0693223,45.76874,2.94
Mo0.03W0.97B4,0.0,30.8819,29.58879,33.655483,1.0374215,44.40333,4.9
Mo3.2Pt0.8,0.0,11.121451,6.5079303,13.150018,1.6944101,72.52351,0.98
Mo3Pt2N,0.0,15.890268,11.320725,15.566066,1.0829949,46.35395,0.98
Nb3Ge,0.0,8.97186,7.4470425,10.391305,0.75108737,32.147766,0.98
Nb5GaSn2,0.0,9.07122,6.0675473,9.917748,0.9821941,42.039513,0.98
NdB6,0.0,28.77399,21.764547,24.092293,0.5938126,25.416147,0.69
NdRh3B,0.0,9.264216,6.7860293,7.3998227,0.15657994,6.701877,0.98
NdRuNi,0.0,4.2384806,2.8332446,4.245603,0.36029553,15.421237,49.03
NiB50,0.0,38.547672,34.881756,42.038963,1.8258182,78.147995,0.49
Os0.8Ru0.2B2,0.0,28.600866,26.402912,32.744076,1.6176437,69.23779,0.49
Os0.8Ru0.2B2,0.0,16.960966,18.869576,24.6441,1.473093,63.050785,1.96
Pd3Te2,0.0,2.6834412,1.7035087,4.6703234,0.7568404,32.394005,0.98
Pt0.5Pd0.5,0.0,1.4933006,0.39527676,2.8650892,0.6300542,26.967346,9.8
Re0.25Pt0.75,0.0,1.3679177,0.9197729,3.6255639,0.6902528,29.543945,9.8
ReSi,0.0,11.936242,12.092801,19.959013,2.0066867,85.889465,0.98
Rh4Si5,0.0,10.892392,8.175074,12.618952,1.1336423,48.52174,0.98
RhB1.1,0.0,19.133966,15.428698,22.944633,1.9173305,82.06487,0.49
Ru2Ge3,0.0,6.301071,6.308757,8.986452,0.6830855,29.237175,0.98
Sc0.05Zr0.95B12,0.0,41.43181,39.5244,43.58068,1.0347658,44.289665,0.49
Sc0.05Zr0.95B12,0.0,35.24018,34.683582,36.70681,0.5161295,22.091185,0.98
Sc0.05Zr0.95B12,0.0,32.633186,31.270317,33.60317,0.5951151,25.471899,1.96
Sc0.05Zr0.95B12,0.0,30.975777,29.95657,31.806149,0.47183132,20.19515,2.94
Sc0.05Zr0.95B12,0.0,29.061918,28.762348,30.198792,0.3664396,15.684214,4.9
Sc0.8Y0.2B12,0.0,42.852684,38.644897,44.469055,1.4857545,63.592716,0.49
Sc0.8Y0.2B12,0.0,36.57829,34.105305,38.156376,1.0334365,44.23277,0.98
Sc0.8Y0.2B12,0.0,33.853714,30.73282,35.33573,1.174212,50.25819,1.96
Sc0.8Y0.2B12,0.0,31.890385,29.55459,33.375996,0.9748483,41.725098,2.94
Sc0.8Y0.2B12,0.0,30.189981,28.494516,31.642784,0.8031295,34.37525,4.9
Sc5Si3,0.0,4.1564784,3.1958086,5.703537,0.6397266,27.381342,1.96
ScRh3C,0.0,5.6246934,5.731938,10.578172,1.2362841,52.914978,2.94
ScSi,0.0,4.404433,3.614044,6.676154,0.7811505,33.434517,1.96
Si,0.0,12.049657,12.493165,20.575897,2.0619214,88.2536,0.49
SmB6,0.0,24.216206,20.576708,25.53333,1.2644446,54.120293,0.98
SrB6,0.0,25.522066,22.383478,29.396465,1.7890273,76.57329,0.29
Ta0.01W0.99B,0.0,36.513336,30.414684,36.67527,1.5970882,68.35798,0.49
Ta0.01W0.99B,0.0,30.08791,26.893274,31.472277,1.1681129,49.99714,0.98
Ta0.01W0.99B,0.0,20.020819,19.759233,24.258778,1.1478429,49.129547,4.9
Ta0.04W0.96B4,0.0,50.22073,41.885586,50.768463,2.26604,96.99021,0.49
Ta0.04W0.96B4,0.0,43.090652,36.898277,42.839184,1.5155374,64.86747,0.98
Ta0.04W0.96B4,0.0,37.685474,33.232307,37.677673,1.1340219,48.537987,1.96
Ta0.04W0.96B4,0.0,35.02285,31.869843,35.458862,0.91556627,39.18773,2.94
Ta0.04W0.96B4,0.0,32.842884,30.276484,33.671917,0.86618197,37.074,4.9
Ta0.5W0.5B4,0.0,43.3858,40.561005,46.832542,1.599882,68.47756,0.49
Ta0.5W0.5B4,0.0,36.652954,35.635014,39.679478,1.031751,44.16063,0.98
Ta0.5W0.5B4,0.0,33.062206,31.979927,35.412846,0.8757445,37.483295,1.96
Ta0.5W0.5B4,0.0,30.839193,30.613,33.442497,0.7218103,30.894657,2.94
Ta0.5W0.5B4,0.0,28.806932,29.142208,31.836273,0.68726146,29.415913,4.9
Ta3B4,0.0,36.939327,29.915813,36.69277,1.728815,73.9961,0.49
TaN,0.0,24.84992,16.980488,23.298183,1.611657,68.98155,0.1
ThC2,0.0,8.940556,5.692345,14.144279,2.1561053,92.28483,1.96
ThRe2,0.0,6.8068023,6.600509,12.75096,1.5689926,67.15544,0.98
Ti0.815Sn0.185,0.0,2.8603952,2.788026,4.9458776,0.5504723,23.561113,2.94
Ti3GeC2,0.0,2.798935,4.425244,13.201675,2.2388856,95.82796,9.8
TiB2,0.0,28.557003,24.262558,32.18084,2.0199697,86.458,0.29
TiB2,0.0,20.683947,19.798103,24.002237,1.0724832,45.90403,4.9
TiB2,0.0,20.671423,19.798103,24.002237,1.0724832,45.90403,9.8
TiN,0.0,11.44245,13.768218,15.356175,0.40509117,17.338564,0.98
TmB12,0.0,34.159874,34.999474,35.769814,0.19651529,8.411175,0.49
V0.8Re0.2,0.0,12.84987,6.8620753,14.630315,1.9816937,84.819725,0.98
V3B4,0.0,30.494305,25.26744,30.916632,1.4411201,61.682293,0.49
V6Ga5,0.0,7.005794,5.0740194,8.561459,0.88965285,38.078594,0.98
W0.35Os0.65,0.0,13.473583,8.298204,12.479789,1.0667307,45.657818,0.98
W0.5Nb0.5B2.1,0.0,32.924767,32.245487,36.370087,1.0521938,45.03561,0.49
W0.5Nb0.5B2.1,0.0,29.743153,29.091002,31.995707,0.7409962,31.715845,0.98
W0.5Nb0.5B2.1,0.0,26.435228,25.748043,28.138353,0.60977304,26.099281,1.96
W0.5Nb0.5B2.1,0.0,24.48233,24.802544,26.897364,0.53439283,22.872885,2.94
W0.5Nb0.5B2.1,0.0,22.48421,23.333214,25.563414,0.56892854,24.35107,4.9
W0.5Sc0.5B11.6,0.0,41.199368,39.223118,42.499104,0.83571064,35.76978,0.49
W0.5Sc0.5B11.6,0.0,34.450165,34.297695,35.90249,0.4093861,17.522392,0.98
W0.5Sc0.5B11.6,0.0,31.472143,30.822067,32.275364,0.37073892,15.868231,1.96
W0.5Sc0.5B11.6,0.0,29.853828,29.505222,30.242197,0.18800375,8.046867,2.94
W0.5Sc0.5B11.6,0.0,27.944529,28.13993,28.549326,0.10443755,4.4700975,4.9
W0.75Sc0.25B11.6,0.0,40.45385,39.220055,43.000484,0.96439534,41.277695,0.49
W0.75Sc0.25B11.6,0.0,34.129322,34.304905,36.30133,0.50929224,21.79854,0.98
W0.75Sc0.25B11.6,0.0,31.432898,30.851892,32.566456,0.4373886,18.720945,1.96
W0.75Sc0.25B11.6,0.0,29.753311,29.535048,30.46506,0.23724788,10.154596,2.94
W0.75Sc0.25B11.6,0.0,27.77395,28.183765,28.728045,0.13884671,5.942866,4.9
W0.8Er0.2B11.6,0.0,28.817055,27.632683,28.949018,0.3357999,14.372784,4.9
W0.8Er0.2B11.6,0.0,42.558105,38.307735,43.247364,1.2601093,53.934734,0.49
W0.8Er0.2B11.6,0.0,35.37369,33.468613,36.138546,0.68110543,29.152424,0.98
W0.8Er0.2B11.6,0.0,32.38385,30.15079,32.749958,0.6630533,28.379763,1.96
W0.8Er0.2B11.6,0.0,30.73953,28.89158,30.556831,0.42480886,18.182512,2.94
W0.8Ta0.2B2.1,0.0,34.51787,33.28357,37.945736,1.1893282,50.905186,0.49
W0.8Ta0.2B2.1,0.0,29.993658,29.903605,32.022205,0.5404594,23.132544,0.98
W0.8Ta0.2B2.1,0.0,27.81546,26.467602,28.226526,0.44870523,19.205317,1.96
W0.8Ta0.2B2.1,0.0,26.350466,25.538746,27.036926,0.38218886,16.358307,2.94
W0.8Ta0.2B2.1,0.0,24.449785,24.117805,25.743639,0.41475344,17.752125,4.9
W0.93Ta0.02Cr0.05B4,0.0,52.76801,43.119858,53.157642,2.5606592,109.60039,0.49
W0.93Ta0.02Cr0.05B4,0.0,44.489174,38.051174,45.464355,1.8911177,80.942924,0.98
W0.93Ta0.02Cr0.05B4,0.0,38.371876,34.335114,39.27723,1.2607439,53.961895,1.96
W0.93Ta0.02Cr0.05B4,0.0,35.771133,32.90819,36.92342,1.024293,43.841408,2.94
W0.93Ta0.02Cr0.05B4,0.0,33.234585,31.078207,34.995426,0.9992906,42.771267,4.9
W0.9Gd0.1B11.6,0.0,27.775633,27.794228,29.745962,0.49789146,21.310566,4.9
W0.9Gd0.1B11.6,0.0,41.30348,38.495365,43.691643,1.325581,56.737026,0.49
W0.9Gd0.1B11.6,0.0,34.47755,33.629143,36.48445,0.72839504,31.176497,0.98
W0.9Gd0.1B11.6,0.0,31.485003,30.290325,33.083458,0.71253383,30.49761,1.96
W0.9Gd0.1B11.6,0.0,29.73528,29.020813,31.305002,0.5827013,24.940567,2.94
W0.9Tb0.1B11.6,0.0,27.838884,26.516571,29.788898,0.8347774,35.729836,4.9
W0.9Tb0.1B11.6,0.0,41.89166,37.273815,43.43859,1.5726469,67.31185,0.49
W0.9Tb0.1B11.6,0.0,34.652683,31.94699,36.298233,1.1100112,47.510292,0.98
W0.9Tb0.1B11.6,0.0,31.54608,28.819767,33.055637,1.0805792,46.250553,1.96
W0.9Tb0.1B11.6,0.0,29.933304,27.74155,31.323183,0.91368175,39.10707,2.94
W2B,0.0,25.407597,16.183176,29.413448,3.3750694,144.45848,0.49
W2B5,0.0,34.251022,31.11348,38.967068,2.0034664,85.75163,0.29
WB11.6,0.0,43.58819,38.20959,45.009396,1.734644,74.2456,0.49
WB11.6,0.0,36.38116,33.574913,37.618595,1.0315515,44.15209,0.98
WB11.6,0.0,33.452457,30.424728,34.121025,0.9429328,40.359062,1.96
WB11.6,0.0,31.434116,29.155964,32.51084,0.8558361,36.63118,2.94
WB11.6,0.0,29.462362,27.925482,31.01489,0.7881145,33.732586,4.9
Y0.25Sc0.75CrB4,0.0,33.737865,29.32141,35.16205,1.4899589,63.77267,0.49
Y0.25Sc0.75CrB4,0.0,30.87757,27.230036,31.857553,1.1804892,50.526863,0.98
Y0.25Sc0.75CrB4,0.0,27.583696,24.914448,29.07913,1.0624189,45.473263,1.96
Y0.25Sc0.75CrB4,0.0,25.499222,24.118324,26.930906,0.7174954,30.709972,2.94
Y0.25Sc0.75CrB4,0.0,23.760172,22.653088,25.679142,0.7719526,33.040833,4.9
Y0.2Zr0.8O1.92,0.0,14.5259495,8.852373,13.880262,1.2826248,54.898438,9.81
Y0.5Zr0.5B12,0.0,37.08403,34.213005,36.71599,0.63851607,27.329529,0.98
Y0.5Zr0.5B12,0.0,34.097916,31.200447,33.885647,0.68499994,29.319115,1.96
Y0.5Zr0.5B12,0.0,32.65758,29.876038,32.05213,0.555126,23.7603,2.94
Y0.5Zr0.5B12,0.0,30.678356,28.70693,30.424562,0.4381715,18.754456,4.9
Y0.5Zr0.5B12,0.0,44.09344,38.64449,43.434105,1.2218407,52.296776,0.49
Y0.75Zr0.25B12,0.0,36.3383,33.952442,36.398853,0.6240845,26.711834,0.98
Y0.75Zr0.25B12,0.0,33.05607,30.896786,33.717743,0.7196319,30.80142,1.96
Y0.75Zr0.25B12,0.0,31.54318,29.56109,31.874834,0.5902407,25.263266,2.94
Y0.75Zr0.25B12,0.0,29.641312,28.422836,30.247292,0.46542224,19.920832,4.9
Y1.5Sc0.5ReB6,0.0,38.520184,33.768673,38.862446,1.2994318,55.6178,0.49
Y1.5Sc0.5ReB6,0.0,33.883877,30.282043,34.10805,0.97602236,41.77535,0.98
Y1.5Sc0.5ReB6,0.0,28.671404,26.096842,28.432852,0.5959209,25.506388,1.96
Y1.5Sc0.5ReB6,0.0,26.383862,24.741547,26.408533,0.42525163,18.201464,2.94
Y1.5Sc0.5ReB6,0.0,24.100115,22.95121,24.709171,0.4484595,19.1948,4.9
YB20,0.0,41.06087,36.476463,41.518322,1.2861884,55.05096,0.49
YB20,0.0,34.858757,32.287903,35.712486,0.8736182,37.392284,0.98
YB20,0.0,32.40309,29.45265,32.91215,0.8825258,37.773544,1.96
YB20,0.0,30.009972,28.052656,31.210766,0.8056402,34.482716,2.98
YB20,0.0,28.50577,27.32195,29.627031,0.5880307,25.168673,4.9
YbAl3,0.0,4.0608044,3.0893285,4.3560104,0.32313314,13.830626,0.02
YC2,0.0,5.8543534,5.6755276,13.696499,2.0461662,87.579254,1.72
YRe0.25Cr0.75B4,0.0,36.446995,31.08501,38.820004,1.9732125,84.45671,0.49
YRe0.25Cr0.75B4,0.0,31.896107,28.540352,34.88401,1.6182802,69.26503,0.98
YRe0.25Cr0.75B4,0.0,27.039299,25.557774,29.937021,1.117155,47.816055,1.96
YRe0.25Cr0.75B4,0.0,24.9322,24.63094,27.623524,0.7634143,32.67538,2.94
YRe0.25Cr0.75B4,0.0,22.855585,22.808905,25.754656,0.7514671,32.164017,4.9
YRe0.95Cr0.05B4,0.0,35.157574,32.764084,36.796402,1.0286525,44.028008,0.49
YRe0.95Cr0.05B4,0.0,30.850662,29.281736,32.384056,0.79140806,33.873558,0.98
YRe0.95Cr0.05B4,0.0,26.03428,25.036556,27.35556,0.59158266,25.320704,1.96
YRe0.95Cr0.05B4,0.0,23.72997,23.745882,25.44398,0.43318805,18.541155,2.94
YRe0.95Cr0.05B4,0.0,21.52272,21.703161,23.74813,0.5216759,22.328579,4.9
YRh3C,0.0,2.718473,5.137153,9.978631,1.2350708,52.86305,2.94
Zr0.25Hf0.25Gd0.5B20,0.0,42.8213,38.548084,43.541264,1.2737702,54.519444,0.49
Zr0.25Hf0.25Gd0.5B20,0.0,35.108105,33.67276,36.542492,0.73207444,31.33398,0.98
Zr0.25Hf0.25Gd0.5B20,0.0,32.11508,30.344435,33.012936,0.68074,29.136784,1.96
Zr0.25Hf0.25Gd0.5B20,0.0,30.528399,28.899708,31.269619,0.6045692,25.876549,2.98
Zr0.25Hf0.25Gd0.5B20,0.0,28.925613,27.91558,29.589884,0.42711812,18.281353,4.9
Zr0.25Y0.5Gd0.25B20,0.0,42.960865,37.872177,43.871815,1.5305197,65.50874,0.49
Zr0.25Y0.5Gd0.25B20,0.0,36.142487,33.027645,37.06149,1.0290418,44.044666,0.98
Zr0.25Y0.5Gd0.25B20,0.0,33.52738,29.731699,34.17939,1.1346151,48.563377,1.96
Zr0.25Y0.5Gd0.25B20,0.0,31.409369,28.289358,32.315117,1.0269792,43.956387,2.98
Zr0.25Y0.5Gd0.25B20,0.0,29.887573,27.36502,30.731895,0.8588966,36.762177,4.9
Zr0.2Nb2.8Sn0.5Ge0.5,0.0,10.275844,7.265107,10.924239,0.933452,39.95327,0.98
Zr0.5Hf0.25Y0.25B20,0.0,43.46903,39.507206,44.38004,1.2430696,53.20541,0.49
Zr0.5Hf0.25Y0.25B20,0.0,35.85918,34.507023,37.621265,0.7944496,34.003742,0.98
Zr0.5Hf0.25Y0.25B20,0.0,33.3416,31.054012,34.168133,0.79441845,34.002407,1.96
Zr0.5Hf0.25Y0.25B20,0.0,31.672577,29.572353,32.19602,0.6693022,28.647228,2.98
Zr0.5Hf0.25Y0.25B20,0.0,30.039452,28.584248,30.483776,0.4845736,20.740541,4.9
Zr0.9Mo2Al0.1,0.0,9.6496,6.8222876,10.897053,1.0394809,44.49148,0.98
ZrMn2,0.0,6.1508536,4.3764944,5.066319,0.17597565,7.532045,0.98
ZrRh3,0.0,9.100773,5.7163887,7.381188,0.42469367,18.177582,0.98
